Timestamp,Name (Optional),Age,Gender,Marital Status,Employment Status,Current Region ,Would you agree that you frequently shop online?,Where do you shop more often?,Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Apparel/Clothing],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Health & Personal Care],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Home Entertainment (TV, Speakers, Online Streaming Subscription, Etc.)]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Babies & Kids],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Food/Groceries],"Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Toys, Games, Collectibles]",Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Bags],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Stationery],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Books],Part 1 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Sports & Travel],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Wearable Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Automobile Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Cameras/Camera Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Laptops/Computers],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Tech Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Pet Care/Accessories],Part 2 - Please select all events in which you will most likely buy items in the specified product categories. (Having an answer for all categories is not required) [Power Tools],BACK TO SCHOOL - Please select all items that you would typically buy during this season.,SUMMER - Please select all items that you would typically buy during this season.
3/26/2022 18:54:50,,21,Female,Single,Student,CAR - Cordillera Administrative Region,1,Online Stores,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),When Needed,Christmas/New Year/Holiday Season,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Monthly/Weekly Basis (Payday Sales),When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels"
3/26/2022 19:03:20,,21,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",,"Christmas/New Year/Holiday Season, Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Birthdays (Self/As a Gift), When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Bags/School Bags","Clothing, Towels, Bags, Water Bottles"
3/26/2022 19:05:15,Yzza,20,Female,Single,Student,Region III - Central Luzon,3,Online Stores,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Art Materials, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Water Bottles"
3/26/2022 19:09:56,Desiree Corpuz,22,Female,Single,Student,Region I - Ilocos Region,3,Online Stores,Birthdays (Self/As a Gift),When Needed,Birthdays (Self/As a Gift),When Needed,Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,"Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Birthdays (Self/As a Gift), When Needed","Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Bags, Water Bottles, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 19:11:48,Windelyn Ruando,22,Female,Single,Student,Region I - Ilocos Region,3,Physical Stores,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,"Birthdays (Self/As a Gift), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Towels, Bags, Water Bottles, Ice Cooler, Inflatable Pools, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 19:15:04,Jake Sibayan,25,Male,Single,Employed,Region I - Ilocos Region,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),"Monthly/Weekly Basis (Payday Sales), When Needed",Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Laptop, Raincoat","Clothing, Water Bottles"
3/26/2022 19:32:49,,21,Male,Single,Employed,Region I - Ilocos Region,3,Online Stores,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,When Needed,,,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels, Bags"
3/26/2022 19:34:06,Raven Ferraz,17,Male,Single,Student,Region I - Ilocos Region,5,Online Stores,Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,"Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, Laptop, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels, Bags, Water Bottles, Ice Cooler"
3/26/2022 19:37:42,,21,Female,Single,Employed,Region I - Ilocos Region,5,Online Stores,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,,When Needed,When Needed,,Monthly/Weekly Basis (Payday Sales),,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Raincoat, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products"
3/26/2022 19:46:21,,20,Female,Single,Student,Region I - Ilocos Region,5,Online Stores,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Towels, Water Bottles, Ice Cooler, Inflatable Pools"
3/26/2022 19:52:21,Vj,20,Female,Single,Student,Region I - Ilocos Region,3,Online Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Phone/Tablet, School Uniforms/Clothing, Umbrella","Swim Cap, Towels, Bags, Water Bottles"
3/26/2022 19:53:51,,21,Male,Single,Student,Region I - Ilocos Region,2,Online Stores,Christmas/New Year/Holiday Season,,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,,,,,Christmas/New Year/Holiday Season,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Laptop, Phone/Tablet, Tech Products/Tech Accessories, Umbrella","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles"
3/26/2022 20:02:10,,21,Male,Single,Student,CAR - Cordillera Administrative Region,1,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,,,,,When Needed,When Needed,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 21:03:25,,21,Female,Single,Student,Region I - Ilocos Region,4,Online Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),"Monthly/Weekly Basis (Payday Sales), When Needed",Christmas/New Year/Holiday Season,When Needed,,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Bags, Water Bottles, Inflatable Pools, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 21:53:54,Joanna Penuliar,32,Female,Married,Unemployed,Region I - Ilocos Region,4,Online Stores,When Needed,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Phone/Tablet, Tech Products/Tech Accessories, Umbrella, Bags/School Bags","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Water Bottles, Ice Cooler"
3/26/2022 22:03:50,Ver,22,Male,Single,Student,Region I - Ilocos Region,3,Physical Stores,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),When Needed,,When Needed,Christmas/New Year/Holiday Season,Christmas/New Year/Holiday Season,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,"Notebooks, Academic Books, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Water Bottles, Ice Cooler"
3/26/2022 22:09:03,,20,Male,Single,Student,Region III - Central Luzon,3,Online Stores,Monthly/Weekly Basis (Payday Sales),,"Christmas/New Year/Holiday Season, When Needed",,"Christmas/New Year/Holiday Season, When Needed",,"Monthly/Weekly Basis (Payday Sales), When Needed",,Birthdays (Self/As a Gift),,,,,Christmas/New Year/Holiday Season,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, School Uniforms/Clothing, Bags/School Bags","Swimsuit, Swim Snorkles, Water Bottles, Ice Cooler"
3/26/2022 22:47:39,,22,Female,Single,Student,Region I - Ilocos Region,4,Online Stores,Birthdays (Self/As a Gift),,,,,,Birthdays (Self/As a Gift),,,,Birthdays (Self/As a Gift),When Needed,When Needed,,When Needed,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Umbrella, Bags/School Bags","Clothing, Swimsuit, Bags, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/26/2022 23:45:36,,20,Male,Single,Student,Region I - Ilocos Region,3,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, Tech Products/Tech Accessories, Umbrella","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swim Goggles, Towels, Bags, Water Bottles, Ice Cooler, Swimming Safety Equipment (Swimming Rings/Life Jacket/Floaties/Etc.)"
3/27/2022 8:16:01,Jaime,22,Male,Single,Student,Region I - Ilocos Region,5,Online Stores,Christmas/New Year/Holiday Season,"Monthly/Weekly Basis (Payday Sales), When Needed",Birthdays (Self/As a Gift),,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",,,When Needed,Birthdays (Self/As a Gift),,,"Pen/Marker/Pencil/Scriber, Notebooks, Art Materials, Laptop, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas"
3/27/2022 9:17:39,,21,Female,Single,Student,Region I - Ilocos Region,4,Online Stores,When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),Christmas/New Year/Holiday Season,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Phone/Tablet, Tech Products/Tech Accessories","Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Bags, Water Bottles, Ice Cooler"
3/27/2022 9:21:57,Dajen Torralba,20,Male,Single,Student,CAR - Cordillera Administrative Region,4,Physical Stores,"Christmas/New Year/Holiday Season, Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",Birthdays (Self/As a Gift),"Monthly/Weekly Basis (Payday Sales), When Needed",Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",Birthdays (Self/As a Gift),When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products"
3/27/2022 17:32:36,MJ,22,Female,Single,Student,Region I - Ilocos Region,5,Online Stores,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),,,,When Needed,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),,,,,,Monthly/Weekly Basis (Payday Sales),Monthly/Weekly Basis (Payday Sales),,"Pen/Marker/Pencil/Scriber, Notebooks, Academic Books, Art Materials",Towels
3/28/2022 12:18:39,Alyssa Calpito,22,Female,Single,Student,Region I - Ilocos Region,3,Online Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed","Christmas/New Year/Holiday Season, When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Art Materials, Laptop, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit"
3/31/2022 11:36:01,,21,Male,Single,Student,Region III - Central Luzon,4,Online Stores,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Tech Products/Tech Accessories, Bags/School Bags","Clothing, Ice Cooler, Inflatable Pools, Pool Toys"
3/31/2022 11:40:53,Ludweeg,21,Male,Single,Employed,CAR - Cordillera Administrative Region,3,Online Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Birthdays (Self/As a Gift), When Needed","Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, School Uniforms/Clothing, Bags/School Bags",Clothing
3/31/2022 11:47:14,,20,Male,Single,Student,CAR - Cordillera Administrative Region,2,Physical Stores,When Needed,When Needed,When Needed,,When Needed,When Needed,,,,,,,,When Needed,When Needed,,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks","Sunscreen/Heat-Protectant Skin Products, Water Bottles"
3/31/2022 12:30:00,,19,Male,Single,Student,CAR - Cordillera Administrative Region,2,Physical Stores,When Needed,When Needed,Christmas/New Year/Holiday Season,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,Birthdays (Self/As a Gift),Birthdays (Self/As a Gift),"Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Notebooks, Art Materials, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Bags"
3/31/2022 22:40:28,Nivor Gevin,22,Prefer Not to Answer,Single,Student,Region III - Central Luzon,3,Online Stores,Christmas/New Year/Holiday Season,,Birthdays (Self/As a Gift),,Monthly/Weekly Basis (Payday Sales),Birthdays (Self/As a Gift),When Needed,When Needed,,,,,,When Needed,Birthdays (Self/As a Gift),,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Tech Products/Tech Accessories","Clothing, Bags"
3/31/2022 22:40:40,,21,Male,Single,Student,Region III - Central Luzon,1,Physical Stores,,When Needed,When Needed,,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,,,When Needed,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Umbrella, Bags/School Bags","Clothing, Umbrellas, Bags, Water Bottles, Ice Cooler"
3/31/2022 22:46:38,ail,21,Female,Single,Student,Region I - Ilocos Region,3,Online Stores,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,Birthdays (Self/As a Gift),When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,When Needed,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, Bags/School Bags, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swim Cap, Towels, Bags, Water Bottles, Ice Cooler"
4/3/2022 13:12:51,,21,Male,Single,Student,Region III - Central Luzon,3,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Christmas/New Year/Holiday Season, When Needed",,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed","Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales)",When Needed,Monthly/Weekly Basis (Payday Sales),"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Tech Products/Tech Accessories, Umbrella, Bags/School Bags","Clothing, Umbrellas, Towels"
4/3/2022 16:16:55,,21,Male,Single,Student,CAR - Cordillera Administrative Region,2,Online Stores,"Birthdays (Self/As a Gift), When Needed",When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, School Uniforms/Clothing",Umbrellas
4/3/2022 16:20:29,Lloyd,20,Male,Single,Student,Region VI - Western Visayas,3,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),,,Monthly/Weekly Basis (Payday Sales),,When Needed,When Needed,When Needed,,,,,,When Needed,,,"Pen/Marker/Pencil/Scriber, Notebooks, Bags/School Bags","Clothing, Towels, Water Bottles"
4/3/2022 16:24:40,,21,Male,Single,Student,Region I - Ilocos Region,2,Online Stores,,,Christmas/New Year/Holiday Season,,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",,,,,,,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",,,,"Pen/Marker/Pencil/Scriber, Notebooks, Laptop, Umbrella, Bags/School Bags","Clothing, Towels, Water Bottles"
4/3/2022 16:39:31,,20,Prefer Not to Answer,Single,Student,Region III - Central Luzon,4,Physical Stores,When Needed,Monthly/Weekly Basis (Payday Sales),When Needed,,Monthly/Weekly Basis (Payday Sales),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,When Needed,,,,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, Tech Products/Tech Accessories, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Sunscreen/Heat-Protectant Skin Products, Towels, Bags"
4/3/2022 16:41:21,Z,20,Female,Single,Student,Region III - Central Luzon,5,Online Stores,When Needed,When Needed,,,When Needed,,,When Needed,Birthdays (Self/As a Gift),When Needed,When Needed,,,,When Needed,When Needed,,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Art Materials, Tech Products/Tech Accessories, Make up/Beauty Products","Clothing, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Towels, Water Bottles"
4/3/2022 16:44:27,Jhaleel Pogi,21,Male,Single,Student,Region III - Central Luzon,5,Physical Stores,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift)",When Needed,When Needed,When Needed,"Christmas/New Year/Holiday Season, When Needed",When Needed,Birthdays (Self/As a Gift),"Christmas/New Year/Holiday Season, Birthdays (Self/As a Gift), When Needed",When Needed,When Needed,"Monthly/Weekly Basis (Payday Sales), When Needed",When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Laptop, Phone/Tablet, School Uniforms/Clothing, Umbrella, Bags/School Bags","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Towels, Water Bottles, Ice Cooler"
4/3/2022 16:47:19,,22,Female,Single,Student,CAR - Cordillera Administrative Region,5,Online Stores,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,When Needed,"Pen/Marker/Pencil/Scriber, Paper/Envelopes/Post-it Notes/, Notebooks, Academic Books, Phone/Tablet, Tech Products/Tech Accessories, Umbrella, Make up/Beauty Products","Clothing, Umbrellas, Sunscreen/Heat-Protectant Skin Products, Swimsuit, Swim Cap, Towels, Bags, Water Bottles"
